Time,V2XSpeed,V2XSpeedInj,KFSpeed,KFSpeedInj
25.85,35.63,35.86611111111112,35.609856165742755,35.63043392946703
25.95,35.67,35.93388888888889,35.611134992999304,35.63637161277013
26.05,35.55,35.84166666666666,35.60976383685233,35.64009856493966
26.15,35.65,35.96944444444444,35.611999961166255,35.647862997083095
26.25,35.57,35.91722222222222,35.610455617984115,35.65226828529285
26.35,35.68,36.055,35.613002778758684,35.66117769862194
26.45,35.7,36.10277777777778,35.61388292372872,35.66882418526091
26.55,35.68,36.11055555555556,35.61467341728204,35.67677674475678
26.65,35.72,36.178333333333335,35.61767981976014,35.687332736727846
26.75,35.62,36.10611111111111,35.618616594697784,35.69619858506695
26.85,35.59,36.10388888888889,35.61695659075386,35.70283925688852
26.95,35.69,36.23166666666666,35.61771219936073,35.71225941724582
27.05,35.6,36.169444444444444,35.61688634797799,35.72045441950353
27.15,35.67,36.26722222222222,35.61855098682952,35.73148878924365
27.25,35.57,36.195,35.61644727508257,35.739096407662586
27.35,35.7,36.35277777777778,35.61830610008604,35.751001028075976
27.45,35.53,36.21055555555556,35.61528892230443,35.75835711816679
27.55,35.64,36.348333333333336,35.6167779391014,35.77054002112988
27.65,35.6,36.33611111111111,35.61786423142396,35.782634099763314
27.75,35.55,36.31388888888888,35.617112616549726,35.79319758666807
27.85,35.7,36.49166666666667,35.617839307524356,35.805540241182634
27.95,35.55,36.36944444444444,35.61654992477977,35.8161613585422
28.05,35.72,36.56722222222222,35.618818031686565,35.83062830301528
28.15,35.65,36.525,35.620284218608376,35.844575589584686
28.25,35.58,36.48277777777778,35.619810125904394,35.85685890461857
28.35,35.68,36.61055555555556,35.620134887270744,35.87021154692132
28.45,35.72,36.678333333333335,35.62191828213403,35.88528757787708
28.55,35.62,36.60611111111111,35.623007795395104,35.8999288789833
28.65,35.61,36.623888888888885,35.62274281201082,35.913469344261436
28.75,35.6,36.641666666666666,35.6228838310188,35.92766409214898
28.85,35.63,36.699444444444445,35.6229919898556,35.94206898772296
28.95,35.54,36.63722222222222,35.62195905331599,35.955570629601596
29.05,35.61,36.735,35.62173316297346,35.97011209734393
29.15,35.58,36.73277777777778,35.62191302124414,35.98528713352883
29.25,35.55,36.730555555555554,35.619653424699095,35.99824567511781
29.35,35.57,36.778333333333336,35.61943000460397,36.013458592080035
29.45,35.6,36.836111111111116,35.62037708720633,36.03005554579931
29.55,35.62,36.88388888888888,35.62136570904004,36.04690300253175
29.65,35.7,36.99166666666667,35.62369610515571,36.06529671982274
29.75,35.61,36.92944444444444,35.6248355848798,36.08269962048508
29.85,35.7,37.047222222222224,35.62697439641276,36.101297655448256
29.95,35.56,36.935,35.624184664296536,36.11515873950856
30.05,35.6,37.00277777777778,35.62296768049302,36.130780040721206
30.15,35.64,37.07055555555556,35.622999019885405,36.14783309424577
30.25,35.66,37.11833333333333,35.62353183686451,36.16556709730659
30.35,35.67,37.156111111111116,35.62383345323151,36.18324549549908
30.45,35.58,37.093888888888884,35.62265953396767,36.19962015699191
30.55,35.64,37.181666666666665,35.62182086132669,36.21649814508045
30.65,35.56,37.129444444444445,35.62202781842967,36.23458620027068
30.75,35.7,37.297222222222224,35.623208542712256,36.25380889224291
30.85,35.65,37.275,35.62385409828906,36.272653790759875
30.95,35.6,37.25277777777778,35.622919551832126,36.29007254011539
31.05,35.73,37.410555555555554,35.625821655974335,36.31147854113418
31.15,35.59,37.29833333333334,35.62483177467238,36.32913987515702
31.25,35.59,37.32611111111112,35.62373724473314,36.34684066421451
31.35,35.56,37.32388888888889,35.62220519835737,36.36424489224305
31.45,35.57,37.361666666666665,35.62062834349919,36.381742184141046
31.55,35.6,37.419444444444444,35.621074536709756,36.40139737733333
31.65,35.71,37.55722222222222,35.624027453590394,36.42369119096862
31.75,35.67,37.545,35.6244347970869,36.44356843298136
31.85,35.6,37.50277777777778,35.62523369312935,36.4639633945219
31.95,35.58,37.510555555555555,35.622908011068425,36.48135716920556
32.05,35.53,37.48833333333334,35.62122998048083,36.49951926875288
32.15,35.57,37.55611111111111,35.61965378586539,36.517901216542136
32.25,35.58,37.593888888888884,35.6200038486798,36.538324828523834
32.35,35.67,37.711666666666666,35.62022019496657,36.55872757974524
32.45,35.56,37.629444444444445,35.61963192657911,36.578436074495706
32.55,35.59,37.687222222222225,35.61993499242688,36.59914381649114
32.65,35.54,37.665,35.61822885612609,36.61794787548395
32.75,35.7,37.85277777777778,35.620518979588724,36.640851369830735
32.85,35.66,37.840555555555554,35.62224790970644,36.66329455217408
32.95,35.71,37.91833333333334,35.623621436176315,36.68548096628497
33.05,35.68,37.91611111111111,35.623545824914984,36.7063146795121
33.15,35.7,37.96388888888889,35.624312371684134,36.72808483546069
33.25,35.6,37.891666666666666,35.62412100991198,36.74898926088523
33.35,35.72,38.03944444444444,35.62592540777353,36.771979561858366
33.45,35.68,38.02722222222222,35.62694120140296,36.7942693560893
33.55,35.67,38.045,35.62761758823563,36.816305865388706
33.65,35.71,38.11277777777778,35.62921202725983,36.8393446150599
33.75,35.69,38.120555555555555,35.63021622701159,36.861875421049554
33.85,35.58,38.038333333333334,35.63025205771743,36.88351830126233
33.95,35.59,38.07611111111112,35.62929406850811,36.90424599196222
34.05,35.63,38.14388888888889,35.630295050111634,36.92700950966871
34.15,35.69,38.23166666666666,35.63143490921338,36.949987024735194
34.25,35.59,38.159444444444446,35.62944716175263,36.969910353878795
34.35,35.71,38.30722222222222,35.63141648274816,36.993862509253844
34.45,35.64,38.265,35.63071825305766,37.01521724447362
34.55,35.53,38.18277777777778,35.62976352043527,37.03638401494435
34.65,35.63,38.31055555555556,35.63028711110205,37.05909608872605
34.75,35.57,38.278333333333336,35.628221264005326,37.07928418009584
34.85,35.65,38.38611111111111,35.62732840571164,37.10070922375831
34.95,35.61,38.37388888888889,35.625564814719475,37.121326038488796
35.05,35.55,38.327777777777776,35.625251470956805,37.14318685809107
35.15,35.63,38.40777777777778,35.6243368738345,37.163976915399246
35.25,35.58,38.35777777777778,35.6243260798998,37.18521069213306
35.35,35.55,38.327777777777776,35.62418239257485,37.205860738354524
35.45,35.67,38.44777777777778,35.62564181227851,37.22767212573886
35.55,35.54,38.31777777777778,35.623961950957714,37.24591136520484
35.65,35.59,38.36777777777778,35.62319838971116,37.26464276758788
35.75,35.69,38.467777777777776,35.6255957103686,37.286119478219916
35.85,35.71,38.48777777777778,35.62718954961333,37.3063855340043
35.95,35.6,38.37777777777778,35.62636376906951,37.32383303640795
36.05,35.63,38.40777777777778,35.62543187929754,37.340783578314614
36.15,35.66,38.437777777777775,35.626080508741076,37.35893171578367
36.25,35.64,38.41777777777778,35.627211727779866,37.37718729486889
36.35,35.55,38.327777777777776,35.62588045899412,37.392612864603954
36.45,35.65,38.42777777777778,35.625320232861434,37.408449435376035
36.55,35.67,38.44777777777778,35.62517963940099,37.424352933202904
36.65,35.64,38.41777777777778,35.62588027017045,37.440752144319646
36.75,35.67,38.44777777777778,35.62687129403153,37.45710329349146
36.85,35.66,38.437777777777775,35.62704469622507,37.472305285594025
36.95,35.63,38.40777777777778,35.62608189204253,37.486046321749015
37.05,35.64,38.41777777777778,35.62535430689356,37.49970448181484
37.15,35.59,38.36777777777778,35.62365608260216,37.51208043306584
37.25,35.7,38.47777777777778,35.62542766898905,37.52762102411816
37.35,35.66,38.437777777777775,35.62496980812975,37.540633271492204
37.45,35.62,38.397777777777776,35.626076613856114,37.55491744138013
37.55,35.63,38.40777777777778,35.625015037012155,37.56674651712976
37.65,35.55,38.327777777777776,35.62447305903346,37.57881439501468
37.75,35.61,38.38777777777778,35.62535031604367,37.59202651048468
37.85,35.6,38.37777777777778,35.62372570771703,37.60246744914588
37.95,35.6,38.37777777777778,35.6231190200681,37.61366257163243
38.05,35.71,38.48777777777778,35.624705842080566,37.62679293228203
38.15,35.57,38.34777777777778,35.62392267714356,37.63730039258427
38.25,35.62,38.397777777777776,35.62446727335313,37.648887953460054
38.35,35.69,38.467777777777776,35.624444878909635,37.659666012603175
38.45,35.68,38.45777777777778,35.62622333634523,37.67200746061897
38.55,35.57,38.34777777777778,35.62590746623986,37.68202206661878
38.65,35.69,38.467777777777776,35.62571575801755,37.69193317086249
38.75,35.55,38.327777777777776,35.62372177592789,37.69981909255479
38.85,35.54,38.31777777777778,35.621405949772736,37.707164922355254
38.95,35.56,38.33777777777778,35.620262703442464,37.715469652667444
39.05,35.68,38.45777777777778,35.623510765427405,37.72795648987286
39.15,35.66,38.437777777777775,35.62606277959235,37.73954246679827
39.25,35.65,38.42777777777778,35.62803563306548,37.75034877226806
39.35,35.53,38.30777777777778,35.63006564851627,37.761015945016844
39.45,35.71,38.48777777777778,35.637152724074504,37.7765480152146
39.55,35.62,38.397777777777776,35.64130671501113,37.78895888772586
39.65,35.69,38.467777777777776,35.65009335427102,37.80581826419313
39.75,35.61,38.38777777777778,35.65552860396767,37.81914599605527
39.85,35.54,38.31777777777778,35.66043259887164,37.83176602953287
39.95,35.68,38.45777777777778,35.66921270507128,37.84808946575967
40.05,35.72,38.49777777777778,35.67884142539394,37.86509246764863
40.15,35.58,38.35777777777778,35.68521591747642,37.87867577938184
40.25,35.62,38.397777777777776,35.69076826131876,37.8912749953587
40.35,35.68,38.45777777777778,35.69826219913848,37.90565730141998
40.45,35.54,38.31777777777778,35.703182927486885,37.91731126830961
40.55,35.68,38.45777777777778,35.70879421647422,37.92950397222164
40.65,35.66,38.437777777777775,35.712335856729695,37.93947844305842
40.75,35.65,38.42777777777778,35.71597319311511,37.94940319941941
40.85,35.58,38.35777777777778,35.71763426570453,37.95720939083333
40.95,35.49,38.26777777777778,35.71779820903518,37.96337919823911
41.05,35.62,38.397777777777776,35.72140128707084,37.972851870157456
41.15,35.46,38.23777777777778,35.72121039845722,37.97839722913264
41.25,35.45,38.22777777777778,35.72149062054393,37.98428321691976
41.35,35.51,38.28777777777778,35.723198643250605,37.991469329495104
41.45,35.51,38.28777777777778,35.72400146211058,37.99762531122355
41.55,35.49,38.26777777777778,35.72493399358137,38.00378877127251
41.65,35.38,38.15777777777778,35.72436041713323,38.00832652678404
41.75,35.42,38.19777777777778,35.72534338606586,38.014303814755486
41.85,35.49,38.26777777777778,35.7288146401699,38.0226549057457
41.95,35.46,38.23777777777778,35.734236178013255,38.03284427718712
42.05,35.44,38.217777777777776,35.739017441601,38.042283799052804
42.15,35.37,38.147777777777776,35.74317667784289,38.05099409631278
42.25,35.36,38.13777777777778,35.74831425097115,38.060577862322596
42.35,35.36,38.13777777777778,35.753882069798706,38.07048928703469
42.45,35.26,38.03777777777778,35.75679857242945,38.077649042644296
42.55,35.19,37.967777777777776,35.76082409667718,38.08581965492697
42.65,35.18,37.95777777777778,35.76602350350532,38.095068127580014
42.75,35.23,38.007777777777775,35.77185038213227,38.104850148213025
42.85,35.13,37.90777777777778,35.776851600035975,38.11371463922135
42.95,35.2,37.97777777777778,35.78546644243265,38.126102898117715
43.05,35.13,37.90777777777778,35.79136852203551,38.135690508128164
43.15,35.19,37.967777777777776,35.799573804484595,38.14749536444359
43.25,35.12,37.897777777777776,35.80628909833424,38.15772616501378
43.35,35.08,37.85777777777778,35.81174378798556,38.16661414427145
43.45,35.15,37.92777777777778,35.81482497493309,38.17304821515585
43.55,35.1,37.87777777777778,35.81279968240876,38.174297174519246
43.65,35.07,37.84777777777778,35.80655811829878,38.17125296679211
43.75,35.01,37.78777777777778,35.796151982242684,38.163968991816546
43.85,34.93,37.70777777777778,35.78244735016035,38.15331299009401
43.95,34.86,37.63777777777778,35.76773068457831,38.141573053818846
44.05,34.8,37.577777777777776,35.7491922006728,38.12594099361539
44.15,34.72,37.49777777777778,35.73057138357717,38.11015785652633
44.25,34.77,37.54777777777778,35.71211896451265,38.094475902811745
44.35,34.75,37.52777777777778,35.694315475254136,38.07937716107062
44.45,34.55,37.327777777777776,35.67804098474471,38.06574316549867
44.55,34.59,37.36777777777778,35.67193097222041,38.06221082964439
44.65,34.58,37.35777777777778,35.67249432718494,38.065290447003164
44.75,34.59,37.36777777777778,35.6797277692205,38.07498011143566
44.85,34.52,37.29777777777778,35.69213384843901,38.08978371821532
44.95,34.56,37.33777777777778,35.70954673880194,38.10953675793301
45.05,34.46,37.23777777777778,35.727122687945695,38.12939676689623
45.15,34.54,37.31777777777778,35.74989435316443,38.15439766367484
45.25,34.56,37.33777777777778,35.77303706381573,38.17971601205894
45.35,34.38,37.15777777777778,35.79403946014135,38.202841660421306
45.45,34.38,37.15777777777778,35.816979408227226,38.22785365720879
45.55,34.54,37.31777777777778,35.842871718327096,38.25576796978717
45.65,34.43,37.20777777777778,35.86852479296308,38.28339413305302
45.75,34.5,37.27777777777778,35.893797088900406,38.310591711909936
45.85,34.52,37.29777777777778,35.91994930331437,38.33862248792736
45.95,34.51,37.28777777777778,35.94681551174292,38.36732159777567
46.05,34.43,37.20777777777778,35.97259112253547,38.394885488148155
46.15,34.36,37.13777777777778,35.994609251340705,38.41864829071292
46.25,34.52,37.29777777777778,36.0198775064875,38.44561860794897
46.35,34.49,37.26777777777778,36.04433659185689,38.471738116464586
46.45,34.35,37.12777777777778,36.06650712033122,38.495528380884174
46.55,34.42,37.19777777777778,36.090852681669794,38.52145392215333
46.65,34.51,37.28777777777778,36.115070692154106,38.54721306760496
46.75,34.48,37.257777777777775,36.1384450452266,38.57209060201097
46.85,34.39,37.16777777777778,36.161177832473335,38.59628948896974
46.95,34.49,37.26777777777778,36.18314316928921,38.61968469696829
47.05,34.32,37.09777777777778,36.2029599312387,38.640895936132345
47.15,34.48,37.257777777777775,36.22399263786258,38.66328854241464
47.25,34.37,37.147777777777776,36.24328429970592,38.68390632499723
47.35,34.33,37.10777777777778,36.2612979156177,38.70321306395799
47.45,34.33,37.10777777777778,36.279934409120614,38.723110447000174
47.55,34.36,37.13777777777778,36.29917714181315,38.743582583207264
47.65,34.36,37.13777777777778,36.31718484193052,38.76278893194964
47.75,34.46,37.23777777777778,36.336153424663785,38.78292612354281
47.85,34.5,37.27777777777778,36.35721382851036,38.8051257959302
47.95,34.43,37.20777777777778,36.37503102343185,38.8240536031669
48.05,34.4,37.17777777777778,36.39294102829762,38.8430462331826
48.15,34.45,37.22777777777778,36.41099041971541,38.862150916925366
48.25,34.34,37.11777777777778,36.425523969815075,38.877713066452316
48.35,34.33,37.10777777777778,36.440558139328246,38.89374976831016
48.45,34.32,37.09777777777778,36.45497177127658,38.909140477518385
48.55,34.38,37.15777777777778,36.469791274075085,38.924912200961664
48.65,34.45,37.22777777777778,36.48467377856894,38.940722654710065
48.75,34.43,37.20777777777778,36.49928367747237,38.956236803735614
